Manufacturer,Model,Type,Fibre Quantity,Construction,Armor,Diameter,Sag Allowance,Helix Factor,Fibre Number Scheme,Bundle Number Scheme,Name
ALCATEL,Not Provided,Other,8,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/8F/Other/PSP
ALCATEL,Not Provided,Other,8,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/8F/Other/PSP
ALCATEL,Not Provided,Other,12,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/12F/Other/PSP
ALCATEL,Not Provided,Other,12,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/12F/Other/PSP
ALCATEL,Not Provided,Other,12,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/12F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
ALCATEL,Not Provided,Other,16,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/16F/Other/PSP
